1934,The Admiral's Secret,British,Guy Newall,"Edmund Gwenn, James Raglan",comedy,https://en.wikipedia.org/wiki/The_Admiral%27s_Secret,In Devon a gang of Spanish criminals search for a trove of stolen gems hidden by a retired British Admiral.[2]
1947,Life with Father,American,Michael Curtiz,"William Powell, Irene Dunne, Elizabeth Taylor",comedy,https://en.wikipedia.org/wiki/Life_with_Father_(film),"Stockbroker Clarence Day is the benevolent curmudgeon of his 1880s New York City household, striving to make it function as efficiently as his Wall Street office but usually failing. His wife Vinnie is the real head of the household. The anecdotal story encompasses such details as Clarence's attempts to find a new maid; a romance between his oldest son Clarence Jr. and pretty out-of-towner Mary Skinner; a plan by Clarence Jr. and his younger brother John to make easy money selling patent medicines; Clarence's general contempt for the era's political corruption and the trappings of organized religion; and Vinnie's push to get him baptized so he can enter the kingdom of God.[6]"
1965,Market,South_Korean,Lee Man-hee,Shin Young-kyun,drama,https://en.wikipedia.org/wiki/Market_(1965_film),"Bok-nyeo, a mentally handicapped woman, supports her lazy husband by selling apples at the public marketplace. When her husband abandons her for another woman, another man who sympathizes with Bok-nyeo, kills him.[4]"
1990,Meridian: Kiss of the Beast,American,Unknown,,unknown,https://en.wikipedia.org/wiki/Meridian:_Kiss_of_the_Beast,"Catherine Bomarzini and her best friend Gina have traveled to Catherine's family castle in Italy after her father's death. Once there, the two visit a local carnival, where Gina invites the head magician Lawrence and his crew to the castle for dinner. At the dinner Lawrence drugs both women and rapes Gina in front of his crew. He then carries Catherine off to another room where he strips and begins to seduce her, but pulls away so his twin brother Oliver can instead have sex with her. As the film progresses Catherine finds that both brothers are under a curse - they can only die at the hands of a loved one."
1933,The Life of Jimmy Dolan,American,Archie Mayo,"Douglas Fairbanks Jr., Loretta Young",drama,https://en.wikipedia.org/wiki/The_Life_of_Jimmy_Dolan,"Southpaw boxer Jimmy Dolan believes in clean living outside the ring, but blonde vixen Goldie West gets him drunk after a fight. Then when reporter Magee plans to write about Jimmy's behavior, a punch in the face accidentally kills Magee. With the fighter certain to face charges and possible incarceration, his manager Doc Woods makes off with Jimmy's money and watch. Driving away with Goldie, they end up in a fiery car crash and are killed. Doc's face is unrecognizable, and because he's wearing Jimmy's watch, it is believed the boxer is dead. A detective, Phlaxer, is unconvinced. The watch is on the wrong wrist for a left-hander. Jimmy, trying to take advantage of the situation and begin a new life, disappears. On the verge of starvation, he comes across a farm run for crippled children by a young woman named Peggy and her aunt. He helps them with the kids as thanks for their hospitality. A charity match against boxer King Cobra is arranged to raise badly needed money for the farm's mortgage. A photograph of Daugherty makes it obvious to Phlaxer that fugitive Jimmy Dolan is very much alive. He intends to take him into custody, but upon seeing how Jimmy's life has changed for the better, the detective lets him remain free."
1957,Nausherwan-E-Adil,Bollywood,Sohrab Modi,"Raaj Kumar, Mala Sinha, Sohrab Modi, Naseem Bano, Murad, Agha, Shammi",drama action adventure,https://en.wikipedia.org/wiki/Nausherwan-E-Adil,"Sultan-e-Iran (Emperor of Iran) is a just ruler and known as such, Nausherwane-e-Adil (Nausherwan The Just) (Sohrab Modi). His laws are equal for everyone and he follows them in his dispensation of justice. However, when questioned about a certain ruling, by a Christian priest David (Bipin Gupta), he realises that the laws he is following have come down through ages without being written down. He decides to rectify this and gets his Wazir (Niranjan Sharma) to start work on it. Nausherwan now decides to go incognito into his country to see for himself whether his people are contented and happy. When he returns, he sets about bringing reformation into the laws with the help of his judiciary. He puts forth two laws; anyone deceiving a girl will be walled up, and anyone betraying the state will be put to death. Nausherwan has a wife (Naseem Banu) and two sons, Naushahzad (Raaj Kumar) and Hormuz. He now declares his older son Naushahzad as heir to the throne. Naushahzad saves a young girl when he fishes her out of the water with the help of his friend, Altaf (Agha). They take her to the priest David where it's discovered that she's his long-separated daughter, Marcia (Mala Sinha). Naushazad says he's a Christian named Joseph. Soon, Marcia and Joseph (Naushahzad) fall in love. Joseph now declares to his mother (who's also a Christian) that he's a Christian, but she asks him to keep it hidden from his father as only an Iranian (Zoroastrian) can become the ruler. Complications arise and Nausherwan is tested when David and Marcia come to him demanding justice as they feel Naushahzad, as Joseph, has deceived them. When Nausherwan pronounces judgement as set down by his laws, Naushahzad revolts and is fought off by the Commander (Murad), who wounds him critically. Marcia kills herself with a dagger. Nausherwan now renounces his kingdom and establishes his younger son Hormuz as the new ruler."
1973,A Doll's House,British,Joseph Losey,"Jane Fonda, Edward Fox",drama,https://en.wikipedia.org/wiki/A_Doll%27s_House_(1973_Losey_film),"Set in nineteenth century Norway, Ibsen's A Doll's House focuses on the married life of banker Torvald Helmer and his wife Nora. A young middle-class couple with three small children, their seemingly respectable marriage is revealed to be a broken and bloodless matter. The Helmers live in an unequal partnership, dominated by Torvald. Although he professes to love her, Torvald constantly chides Nora for what he calls her careless and childlike nature; he often calls her his ""doll"". He proudly thinks of himself as the family's breadwinner and protector, but he remains unaware of the secret that Nora holds: she had saved him, when he had become seriously ill and very nearly destitute. Without his knowledge, she had borrowed a large sum of money so that he could temporarily retire and recuperate. She told him the money had been inherited from her family; in truth it had been a private loan from Nils Krogstad, one of Torvald's coworkers. Nora has been scrupulously repaying him in small installments skimmed from her household allowance. Torvald, it turns out, already holds the boorish Krogstad in contempt for various reasons. When Torvald is appointed bank director, one of his first acts is to fire his unlikable coworker. The desperate Krogstad attempts to blackmail Nora – she must persuade Torvald to keep him on the job, or he will tell all about the secret loan. Its existence would be embarrassment enough for Nora, but Krogstad threatens to reveal the most shocking news of all: Nora had forged her father's signature as a co-signer on the contract. The story includes important subplots regarding the unexpected tenderness of Krogstad (toward Nora's friend Kristine, his old flame) and the quixotic love interest (toward Nora) of the elderly Dr. Rank. But the essential conflict comes when Torvald gets a letter from Krogstad describing the loan. Indignantly, Torvald pours scorn on his wife for her morals, intellect, and financial sense; he cuts short her explanations, and declares that she will be allowed no hand in raising their children. His fury seems infinite until suddenly a second letter from Krogstad arrives. It contains Nora's contract, complete with forged signature and surrendered without explanation. Torvald holds the incriminating evidence in his hand, utterly relieved, and begins to make weak apologies for his outburst. But in the meantime Nora has had a transformational realization about her love and marriage. She stands up to Torvald, explains her new vision, and then – against all customs of the day – walks out on him forever."
1921,Tansy,British,Cecil Hepworth,"Alma Taylor, James Carew",drama,https://en.wikipedia.org/wiki/Tansy_(film),"George Firle (Rolf Leslie) is a shepherd, helped in his work by daughter Tansy (Taylor) who has learned shepherding skills from her father. One evening Tansy slips out of the house after her father has gone to the pub to meet up with farm labourer Clem (Ames). George returns, finds Tansy absent and goes to look for her. He finds her in Clem's caravan, trying to fight off unwanted advances, and rescues her. The owner of the farm hears about the incident and assumes that it shows Tansy's immorality and that she must have been leading Clem on to end up in such a compromising situation. He orders George and Tansy to leave the farm. George and Tansy set out on foot for the nearest town. On the journey, George collapses. Local farmer's son Joad Wilverley (Carew) comes across the stricken pair while driving by and offers his help. Arriving at the Wilverley farm, they discover that George has died. The Wilverleys offer shelter to the distraught Tansy, and later she overhears Joad talking with his younger brother Will (Hugh Clifton) about their need for a shepherd. Tansy offers her services, initially to the brothers' amusement, but she proves her worth by expertly rounding up a flock of sheep and is given the job. Tansy's skills give the farm one of its best ever lambing seasons. Meanwhile both brothers have fallen in love with her and begin to realise that they are rivals. Joad, as the elder brother, believes he should have first claim; however Tansy is more drawn to Will, and allows him to kiss her while they are walking together. The fraternal rivalry intensifies and Joad attempts to win over Tansy by buying her expensive gifts. Will finally offers to marry Tansy and she accepts the proposal. Will goes to break the news to Joad, who responds by provoking a fight during which he badly beats his brother. At the same time Clem appears back on the scene and again tries to force himself on Tansy. She manages to break free and flees in panic to the Wilverley house. However Joad has been stricken with remorse for his treatment of Will and orders Tansy to leave, saying she has been the cause of all the trouble between the two. After Tansy has departed, a Wilverley servant tells Joad that Tansy has always loved Will and he must tell Will to go after her. Joad realises the truth that Will and Tansy should be free to marry. He sends Will off in pursuit. Clem has once again caught up with Tansy and is trying to accost her when Will catches up with them and deals appropriately with him. Will and Tansy embrace."
2016,Miss Peregrine's Home for Peculiar Children,American,Tim Burton,Eva Green Asa Butterfield,unknown,https://en.wikipedia.org/wiki/Miss_Peregrine%27s_Home_for_Peculiar_Children_(film),"For years, Abraham Portman has told stories to his grandson Jake about his childhood surviving in World War II, battling monsters and living at a secret home for children in Cairnholm, Wales. According to Abe, the home's children and their headmistress Miss Alma Peregrine possess paranormal abilities and are known as ""Peculiars"". When Jacob turns sixteen, Jake responds to a panicked phone call from Abe, and goes to his house to find him dying with his eyes removed. Abe tells him to go to ""the loop of September 3, 1943"". After Abe dies, Jake glimpses a monster exactly like the ones described in Abe's stories hiding in the forest. Jake's parents sign him up for psychiatrist check-ups, and following advice from his psychiatrist, Dr. Golan, and the lead of a letter from Miss Peregrine to Abe, Jake travels to Cairnholm with his father to investigate the children's home, whereupon he learns that it was destroyed during a Luftwaffe raid. However upon visiting the ruined house, he finds the children there alive and well. They take him through a portal in a cave and he emerges in the year 1943 when the house was still intact. Miss Peregrine greets him and explains that she belongs to a class of female Peculiars called ""Ymbrynes"" who can shapeshift into birds (in Miss Peregrine's case, a peregrine falcon) and manipulate time. To avoid persecution, she and the children hide from the outside world in a time loop she created, accessible only to Peculiars and set to September 3, 1943. This time loop allows them to live the same day repeatedly and avoid aging as long as they stay inside of it. Jake is introduced to the rest of the children, including aerokinetic Emma Bloom, to whom he is attracted. Jake learns that he himself is a Peculiar and, like Abe, has the ability to see the invisible monsters from Abe's stories, ""Hollowgast"" (or ""Hollows""). Hollows are invisible disfigured Peculiar scientists that resulted from killing an Ymbryne in a failed experiment to become immortal by harvesting her powers. Led by shapeshifter Mr. Barron, they hunt Peculiars to consume their eyeballs, which allows them to become ""Wights"", Hollows with regained visible human forms, but with milky-white eyes. A wounded Ymbryne named Miss Avocet arrives and explains that Barron and the Hollows and Wights raided her January 2016 time loop at Blackpool, England, killed her children, and is trying to repeat his failed experiment by using more Ymbrynes. Jake realized earlier that a Hollow could be in the island after he sees eyeless sheep corpses in the present. Worried, Miss Peregrine decides to move out with her children and Miss Avocet. Jake returns to 2016 and realizes the Hollow is even closer after another victim was killed, so he goes back to the cave to warn his friends. However, he is followed by another visitor on the island, ornithologist John Lamont who reveals himself to be a disguise for Mr. Barron. Barron reveals that he was about to gain Miss Peregrine's loop from Abe, but his hungry Hollow companion Mr. Malthus killed him before he could. Barron then posed as Dr. Golan and encouraged Jake to go to the island so he could find the loop. Using Jake as a hostage at the children's home, Barron forces Miss Peregrine to trap herself in bird form and takes her to Blackpool, leaving Jake, the children, and Miss Avocet as prey for Malthus. Malthus arrives and kills Miss Avocet, but Jake and the children escape just as the Luftwaffe bomb is about to destroy the house. Without Miss Peregrine to reset it, the house is destroyed and the loop closes, leaving Jake and the children stuck in 1943, but safe from Malthus, who is killed in the explosion. Rescuing a sunken ocean liner, they travel to Blackpool and enter its January 2016 loop, fight Barron's Wight and Hollow allies, and rescue Miss Peregrine and other captive Ymbrynes. Barron disguises himself as Jake, hoping to confuse the children who have come to finish him off. When the last remaining Hollow arrives it mistakes Barron for Jake and kills him, and is in turn killed by Jake. Before the time loop closes, Emma tells Jake that because of Miss Peregrine's injury in the battle, the children will live in 1943 and that they will handle the Hollows. Jake says goodbye to them as they exit and return to their ship in 1943, while he stays in his year of 2016. He travels back to Florida and relates his adventures to his grandfather, who is alive and well, as Barron’s death in the beginning of 2016 erased his presence in Florida later on. Abe gives Jake a map of international time loops and money from different countries and urges him to seek out Emma. After months of searching and traveling, Jake reaches Emma and the children in 1943. Emma and Jake confess their feelings, and start traveling along with Miss Peregrine and the other children, searching for a new home."
1932,Cynara,American,King Vidor,"Ronald Colman, Kay Francis, Phyllis Barry",drama,https://en.wikipedia.org/wiki/Cynara_(film),"In Naples, disgraced London barrister James ""Jim"" Warlock (Ronald Colman) prepares to part from his beloved wife Clemency (Kay Francis) and start anew in South Africa. When she asks him to explain the events leading to his downfall, a flashback ensues. Hardworking, successful and deeply in love, Jim is looking forward to his seventh wedding anniversary. He is crestfallen when Clemency informs him that she has to take her sister Garla to Venice for a month to get her away from a parachute jumper, the latest in a string of unsuitable men with whom she has fallen in love. While the women are away, John Tring (Henry Stephenson) takes his friend out to dine. At the restaurant, young shopgirl Doris Lea (Phyllis Barry) in the next booth puts on Jim's bowler hat on a dare by her friend and flatmate Milly Miles. Tring is enchanted and persuades the reluctant Jim to join the girls. Doris takes a great liking to Jim, and gives him her address. Afterward, however, he tears up the slip of paper. Tring has other ideas. He arranges for Jim to judge a swimsuit contest and informs Doris, who becomes a contestant. Jim names her the winner. When she slips and injures her ankle, he picks her up and takes her back to her flat. There, though he warns her that he is married and that nothing good can come of their relationship, she tells him that she will not cause trouble when he wishes to end it. They embark on an idyllic affair. When Clemency, Garla and Garla's new Italian fiancé finally return, however, Doris finds it impossible to give up the man she loves. Finally, Jim writes her a letter telling her he cannot see her anymore. She responds by committing suicide. The letter is found, and Jim is forced to testify at an inquest. When the coroner (Halliwell Hobbes) asks if she had any prior relationships, Jim refuses to answer, even though she told him of an earlier one, to protect her privacy. Though Jim is guilty of no criminal offence, the scandal destroys his promising career. The flashback ends. After Jim leaves to board his ocean liner, Tring comes to talk to Clemency. While he accepts a share of the blame for what happened, he reminds Clemency that she may never see her husband again. She rushes to the ship to accompany Jim."
