1961,Arasilangkumari,Tamil,A. S. A. Sami & A. Kasilingam,"M. G. Ramachandran, Padmini, Rajasulochana",unknown,https://en.wikipedia.org/wiki/Arasilangkumari,"Arivazhagan (M.G. Ramachandran) and his sister Anbukarasi (Padmini). Anbukarasi falls in love with Vetrivelan (M.N. Nambiar), who is commander-in-chief of the royal army, but he tells Anbukarasi and Arivazhagan that he is just an ordinary citizen of the kingdom and marries Anbukarasi. Arivazhagan leaves on a mission after his sister’s marriage. After some time, Vetrivelan deserts his wife and child and returns to the palace. He starts plotting against the royal family. How his plans are set at nought by the hero and how his wife fights for him against her own brother form the rest of the film."
1989,Identity Crisis,American,Melvin van Peebles,Mario van Peebles,drama,https://en.wikipedia.org/wiki/Identity_Crisis_(film),"Melvin Van Peebles acts as the film's narrator, introducing the film's main characters. Yves Malmaison (Richard Fancy) is a world-famous French fashion designer, a flaming homosexual with a preference for red hair, he once experimented with an American woman, and thus he has a son, Sebastian (Ilan Mitchell-Smith). Chilly D (Mario Van Peebles) is a struggling rapper who has been stealing dresses made by Malmaison to redesign and give to his many girlfriends. On the night of a big fashion show, Malmaison is poisoned, and Chilly D is chased by the same people who poisoned the fashion designer. Through a turn of events, the souls of both men wind up in Chilly D's body. Several days later, following Malmaison's funeral, he wakes up in a hospital to discover, to his shock, that he is no longer in his own body. Stumbling the streets, confused, Yves as Chilly tries to piece together elements of his former life, with no such luck. Making things even more difficult is the fact that every time they are struck or hit, they switch between their two personalities, leading to confusion and disorientation for people they bump into. Yves manages to convince his son Sebastian that it is him, and they try to find out who killed him, finding that drug smugglers are trying to take over the company. At the end of the film, Chilly D manages to have all of Malmaison's memories, but still be himself, and so he and Sebastian go into business together."
2009,The Blind Side,American,John Lee Hancock,"Sandra Bullock, Kathy Bates, Tim McGraw, Ray McKinnon, Quinton Aaron",drama,https://en.wikipedia.org/wiki/The_Blind_Side_(film),"The film opens with seventeen-year-old Michael (""Big Mike"") Oher talking to an NCAA investigator. Then a flashback ensues. Michael has been in foster care with different families in Memphis, Tennessee, due to his mother's drug addiction. Every time he is placed in a new home, he runs away. His friend's father, on whose couch Mike had been sleeping, asks Burt Cotton, the coach of Wingate Christian School, to help enroll his son and Mike. Impressed by Mike's size and athleticism, Cotton gets him admitted despite his poor academic record. Later, Michael is befriended by a younger student named Sean Jr. (""SJ""). SJ's mother, Leigh Anne Tuohy, is a strong-minded interior designer and the wife of wealthy businessman Sean Tuohy. The school staff tell Michael that his father has died, apparently due to an accident. Later, Leigh Anne and Sean watch their daughter Collins playing volleyball. After the game, Sean notices Michael picking up leftover food on the bleachers. One night, Leigh Anne notices Michael walking alone on the moist road, shivering in the cold without adequate clothing. When she learns that he plans to spend the night huddled outside the closed school gym, Leigh Anne offers to let him sleep on the couch in the Tuohy home. The next morning, Leigh Anne notices that Michael has left. Seeing him walking away, she asks him to spend the Thanksgiving holiday with her family. Slowly, Michael becomes a member of the family. Later, Leigh Anne drives Michael to his mother's house. He sees an eviction notice posted on the door, and his mother is gone. Leigh Anne's friends wonder what she is doing; they suggest that Collins might not be safe around Michael, but Leigh Anne rebukes them. She later asks Collins how she feels about it. Collins replies that they cannot just throw Michael out. When Leigh Anne seeks to become Michael's legal guardian, she learns he was taken from his drug-addict mother when he was seven and that no one knows her whereabouts. She is also told that, although he scored poorly in a career aptitude test, he was ranked in the 98th percentile in ""protective instincts"". When Michael appears to be hesitant to use his strength and size while learning to play football, Leigh Anne tells him, as an offensive lineman, he must protect his quarterback. From that moment, Michael improves drastically, well enough to play at the college level. However, to do that, he must meet the minimum grade point average to get in so the Tuohys hire a private tutor for him, the outspoken and kind Miss Sue. Leigh Anne has a face-to-face conversation with Michael's mother about adopting him. Although she seems unresponsive in the beginning, the mother finally wishes Michael the best. Michael is heavily recruited by many prestigious schools. SJ talks to coaches and negotiates on Michael's behalf – and his own. When Michael gets his grades high enough, he decides to attend Ole Miss, where Sean had played and Leigh Anne had been a cheerleader. That causes NCAA investigator Granger to look into the matter to determine if the Tuohys took him in and unduly influenced him just so he would play for their alma mater. Michael runs away before the interview is over and confronts Leigh Anne about her motives for taking him in. He then proceeds to find his biological mother in Hurt Village. A gang leader welcomes him back, offers him a beer, and makes sexually offensive insinuations about Leigh Anne and Collins. When the gang leader threatens to go after them, Michael battles with him and other thugs. After thinking things over and questioning Leigh Anne, Michael tells Granger he chose Ole Miss because ""it's where my family goes to school"". Michael is accepted into college and says his farewells to the Tuohy family. The film ends with information about and photos of the real Tuohy family and Michael Oher, who went on to play in the National Football League. He was drafted by the Baltimore Ravens in the first round of the 2009 NFL Draft."
2015,The Forbidden Room,Canadian,Guy Maddin & Evan Johnson,"Roy Dupuis, Louis Negin, Udo Kier, Gregory Hlady, Mathieu Amalric",drama,https://en.wikipedia.org/wiki/The_Forbidden_Room_(2015_film),"The film's frame story, and the narrative it returns to the most, concerns a submarine crew transporting a volatile substance that will explode if they ever resurface. As the crew struggle to survive with low oxygen levels, a woodsman (Roy Dupuis) mysteriously forces his way onto the vessel; the crew believe his sudden appearance may lead to an escape from their predicament. The men navigate a labyrinth of rooms and passageways while trying to access the captain's chamber. Along the way, they recount stories that lead to other stories, which unfold in the complex and layered manner of a Matryoshka doll. The most important of these ""sub-stories"" shows the woodsman and his fellow ""sapling-jacks"" trying to rescue a woman named Margot from depraved kidnappers. Other sub-stories involve: a surgeon kidnapped by a team of ""women skeletons"" who work as insurance defrauders; a madman on a train under the charge of a womanizing psychiatrist; a mustache that seeks to comfort the widow of the man whose face it used to adorn; and a doctor cursed by a bust of Janus. The submarine crew finally reach the captain's ""forbidden room"", only to find him incapacitated. Most of the men die of asphyxiation, but the woodsman finds that the volatile cargo has transformed into his love, Margot. A passionate kiss leads into a montage of proposed endings from ""The Book of Climaxes"", and an abrupt, inconclusive ending to the film itself."
2004,A Very Long Engagement,American,Jean-Pierre Jeunet,"Audrey Tautou, Gaspard Ulliel, Jodie Foster",war film,https://en.wikipedia.org/wiki/A_Very_Long_Engagement,"Five French soldiers are convicted of self-mutilation in order to escape military service during World War I. They are condemned to face near certain death in the no man's land between the French and German trench lines. It appears that all of them were killed in a subsequent battle, but Mathilde, the fiancée of one of the soldiers, refuses to give up hope and begins to uncover clues as to what actually took place on the battlefield. She is all the while driven by the constant reminder of what her fiancé had carved into one of the bells of the church near their home, MMM for Manech Aime Mathilde (Manech Loves Mathilde; a pun on the French word aime, which is pronounced like the letter ""M"". In the English-language version, this is changed to ""Manech's Marrying Mathilde""). Along the way, she discovers the brutally corrupt system used by the French government to deal with those who tried to escape the front. She also discovers the stories of the other men who were sentenced to the no man's land as a punishment. She, with the help of a private investigator, attempts to find out what happened to her fiancé. The story is told both from the point of view of the fiancée in Paris and the French countryside—mostly Brittany—of the 1920s, and through flashbacks to the battlefield. Eventually Mathilde finds out her fiancé is alive, but he suffers from amnesia. Seeing Mathilde, Manech seems to be oblivious of her. At this, Mathilde sits on the garden chair silently watching Manech with tears in her eyes and smile on her lips."
2006,Chess,Malayalam,Raj Babu,"Dileep, Bhavana (Malayalam actress)",unknown,https://en.wikipedia.org/wiki/Chess_(2006_film),Vijayakrishnan(Dileep) takes some documents and rush to his house and shows them to his happy and suprised mother. The owners of the documents burn his mother to death and leave a wounded vijayakrishnan badly. Vijay acts as an blind man in order to finish the criminals that killed his mother. The incident happened after that formed the rest of the film.
1996,Jerry Maguire,American,Cameron Crowe,"Tom Cruise, Renée Zellweger, Cuba Gooding Jr., Bonnie Hunt, Jay Mohr, Kelly Preston, Jerry O'Connell","comedy, drama",https://en.wikipedia.org/wiki/Jerry_Maguire,"Jerry Maguire (Tom Cruise) is a glossy 35-year-old sports agent working for Sports Management International (SMI). After having a life-altering epiphany about his role as a sports agent, he writes a mission statement about perceived dishonesty in the sports management business and his desire to work with fewer clients so as to produce better quality. In turn, SMI management decides to send Bob Sugar (Jay Mohr), Jerry's protégé, to fire him. Consequently, both Jerry and Sugar call all of Jerry's clients to try and convince them not to hire the services of the other. Jerry speaks to Arizona Cardinals wide receiver Rod Tidwell (Cuba Gooding Jr.), one of his clients who is disgruntled with his contract. He needs a $10 million contract for his family to live on. Jerry informed him if he gets injured for the season, he will get no money from the Cardinals. Rod tests Jerry's resolve through a very long telephone conversation while Sugar is able to convince the rest of Jerry's clients to stick with SMI instead. Leaving the office, Jerry announces that he will start his own agency and asks if anyone is willing to join him, to which only 26-year-old single mother Dorothy Boyd (Renée Zellweger) agrees. Meanwhile, Frank ""Cush"" Cushman (Jerry O'Connell), a superstar quarterback prospect who expects to be the number one pick in the NFL Draft, initially also stays with Jerry after he makes a visit to the Cushman home. However, Sugar is able to convince Cushman and his father to sign with SMI over Jerry the night before the draft. Cushman's father implies they decided to sign with Sugar over Jerry when they saw Jerry attending to Tidwell; an African-American player, versus his son (a white player). After an argument, Jerry breaks up with his disgruntled fiancée Avery (Kelly Preston). He then turns to Dorothy, becoming closer to her young son, Ray (Jonathan Lipnicki), and eventually starts a relationship with her. Dorothy contemplates moving to San Diego as she has a secure job offer there, however she and Jerry agree to get married. Jerry concentrates all his efforts on Rod, now his only client, who turns out to be very difficult to satisfy. Over the next several months, the two direct harsh criticism towards each other with Rod claiming that Jerry is not trying hard enough to get him a contract while Jerry claims that Rod is not proving himself worthy of the money for which he asks. Rod takes Jerry's advice to prove he is worthy of his contract. Rod is playing well and his team is winning. Meanwhile, Jerry's marriage with Dorothy gradually deteriorates and they eventually separate. During a Monday Night Football game between the Cardinals and the Dallas Cowboys, Rod plays well but appears to receive a serious injury when catching a winning touchdown, securing a spot for the Cardinals in the playoffs. He recovers, however, and dances for the wildly cheering crowd. Afterwards, Jerry and Rod embrace in front of other athletes and sports agents and show how their relationship has progressed from a strictly business one to a close personal one, which was one of the points Jerry made in his mission statement. Jerry then flies back home to meet Dorothy. He then speaks for several minutes, telling her that he loves her and wants her in his life, which she accepts. Rod later appears on Roy Firestone's sports show. Unbeknownst to him, Jerry has secured him an $11.2 million contract with the Cardinals allowing him to finish his pro football career in Arizona. The visibly emotional Rod proceeds to thank everyone and extends warm gratitude to Jerry. Jerry speaks with several other pro athletes, some of whom have read his earlier mission statement and respect his work with Rod. The movie ends with Ray throwing a baseball up in the air surprising Jerry. Jerry then discusses Ray's possible future career in the sports industry with Dorothy."
1988,Shadows in the Storm,American,Terrell Tannen,"Mia Sara, Ned Beatty, Michael Madsen",drama,https://en.wikipedia.org/wiki/Shadows_in_the_Storm,"Thelonious Pitt (Ned Beatty), a daydreaming businessman, goes to the Redwood Forests of California. There, he meets a beautiful woman, Melanie (Mia Sara). She looks like the woman he has been seeing in his dreams. At the river late at night, when Melanie's husband finds them, he attacks Thelonious until Melanie pulls out a pistol and fires three shots at her husband. His body goes into the river. That is when the nightmare begins.[1][2]"
1987,Police Academy 4: Citizens on Patrol,American,Jim Drake,"Steve Guttenberg, Bubba Smith, Michael Winslow, George Gaynes, David Graf, David Spade, Leslie Easterbrook, Bobcat Goldthwait, Corinne Bohrer",comedy,https://en.wikipedia.org/wiki/Police_Academy_4:_Citizens_on_Patrol,"Commandant Eric Lassard (George Gaynes) decides that the police force is overworked and understaffed, so he comes up with the idea of recruiting civilian volunteers to work side-by-side with his officers in a program called ""Citizens On Patrol"" (COP). Carey Mahoney (Steve Guttenberg) and his friends Moses Hightower (Bubba Smith), Larvell Jones (Michael Winslow), Eugene Tackleberry (David Graf), Zed (Bobcat Goldthwait), Sweetchuck (Tim Kazurinsky), Laverne Hooks (Marion Ramsey), and Debbie Callahan (Leslie Easterbrook) are in charge of training the civilians. The civilians include the enormous Tommy ""House"" Conklin (Tab Thacker), gung-ho senior citizen Lois Feldman (Billie Bird), Tackleberry's own father-in-law, and skateboarding delinquents Kyle (David Spade) and Arnie (Brian Backer). They were caught by Capt. Harris, and the judge is about to throw the book at them until Mahoney speaks to the judge to let Arnie and Kyle join the COP program as alternative punishment. The judge agrees to this, and the boys are joined by their unsuccessful attorney, Butterworth (Derek McGrath). Captain Thaddeus Harris (G. W. Bailey) believes ""the concept of citizens doing police work is asinine"" and is determined to see the COP program fail and take over Lassard's job at the academy. When Lassard leaves on an overseas conference, Harris, along with his right-hand man Lt. Proctor (Lance Kinsey), are put in charge of the academy and Harris immediately plots to make the COP volunteers quit and leave the police work to the officers. The volunteers, however, do well in their training. Mrs. Feldman excels in firing Tackleberry's .44 Magnum, and the two find a friendly bond in each other. In training for water safety and drowning victim rescue, Zed ""rescues"" a cadet but experiences a personal loss of his no longer functioning Mickey Mouse watch, saying it was the last thing he ever stole before joining the academy. Through his loss, Zed gains a love interest, Laura (Corinne Bohrer), a reporter/photographer who has come to the academy to view Lassard's COP program and takes a fancy to Zed. Unfortunately Harris ruins the moment and insults Zed and Laura, which causes Zed to replace Harris' deodorant with mace, which burns his armpits. Despite the pranks played upon him during the various training exercises the volunteers take, Harris is determined to make the Citizens on Patrol program fail. Jones learns that volunteers House, Kyle, and Arnie believe themselves ready to go out and catch criminals, so Jones, Mahoney, Hightower, and Tackleberry play a prank on the boys, locking the boys in a prisoner transport van with Hightower, who is posing as a Voodoo practitioner who reanimates his ""dead"" brother, played by Tackleberry, as a Jason Voorhees-esque maniac with a chainsaw to make them take their training more seriously. Later, after being yelled at again by Captain Harris and being called a disgrace, Zed is comforted again by Laura, who says she thinks he is perfect. After several volunteers accidentally foil an undercover police sting, the Citizens on Patrol program is suspended, much to Harris' delight. Mahoney believes that he did that on purpose to shut down the COP program and pays him back by putting superglue on the mouthpiece of Harris' bullhorn, causing the mouth guard part to get stuck on the rims of his mouth. Sometime later, Harris gives some prominent citizens a tour of his precinct when Proctor messes up and is tricked into releasing every inmate at the precinct 19 jail, including a team of ninjas, and special guest Randall ""Tex"" Cobb. After the criminals imprison Harris and his guests, they make their escape from the precinct, only to run into Mrs. Feldman, who wastes no time informing the Lassard academy. When Lassard's officers hear of the jailbreak, the COP volunteers are dispatched along with the regular officers to catch the escaped felons. After stopping a robbery and a high-speed air balloon chase, the felons are all recaptured. Meanwhile, House, Kyle, Arnie, and Butterworth save Harris and Proctor from drowning in a river after the latters' attempt (and failure) to participate in the chase, and Zed impresses his girlfriend Laura by saving Sweetchuck's life after they both fall out of a plane in mid-air. Several of the police chiefs who had gone to witness Lassard's program in action congratulate and compliment Lassard on his program and his officers, much to Harris' dismay."
1947,Fun and Fancy Free,American,4 directors,"Edgar Bergen, Dinah Shore",animated,https://en.wikipedia.org/wiki/Fun_and_Fancy_Free,"Jiminy Cricket first appears inside a large plant in a large house, exploring and singing ""I'm a Happy-go-Lucky Fellow"", until he happens to stumble upon a doll, a teddy bear, and a record player with some records, one of which is Bongo, a musical romance story narrated by actress Dinah Shore. Jiminy decides to set up the record player to play the story of Bongo. The story follows the adventures of a circus bear named Bongo who wishes he could live freely in the wild. Bongo is raised in captivity and is praised for his performances, but is poorly treated once he is off stage. As such, while traveling by a circus train his natural instincts urge him to break free. As soon as he escapes and enters a forest, a day passes before his idealistic assessment of his new living situation has been emotionally shattered and he experiences some hard conditions. The next morning however, he meets a female bear named Lulubelle. The two fall in love, until Bongo immediately faces a romantic rival in the brutish, enormously-shaped bear named Lumpjaw. Bongo fails to interpret Lulubelle slapping him as a sign of affection and when she accidentally slaps Lumpjaw, he claims her for himself, forcing all other bears into a celebration for the ""happy"" new couple. Bongo comes to understand the meaning of slapping one another among wild bears and returns to challenge Lumpjaw. He manages to outwit Lumpjaw for much of their fight until the two fall into a river and go over a waterfall. While Lumpjaw is swept away and never seen again, Bongo's hat saves him from falling down and he finally can claim Lulubelle as his mate. Bongo later aired as an individual episode on a 1955 episode of Walt Disney's anthology TV series with new introductory segments, which used Jiminy Cricket's narration and singing replacing Dinah Shore's. The short was released separately in 1989 in the Walt Disney Mini-Classics line. This segment is narrated by Edgar Bergen in live-action sequences, who, with the help of his ventriloquist dummies Charlie McCarthy and Mortimer Snerd, tells the tale to child actress Luana Patten at her birthday party, with Jiminy listening in after having read an invitation shortly after the previous story ended. The short later aired as an individual episode on a 1963 episode of Walt Disney's anthology TV series with new introductory segments. Ludwig Von Drake (voiced by Paul Frees) replaces Edgar Bergen as the narrator in the 1963 version, for which he has a Bootle-Beetle companion named Herman (replacing the sassy comments of Edgar Bergen's ventriloquist dummy Charlie McCarthy). An earlier version of the short was produced in 1955, replacing Bergen with narration by Sterling Holloway, as a stand-alone short in such venues as the 1980s TV show, Good Morning, Mickey!. This version also frequently aired alongside Dumbo during the 1980s. A brief clip of the short was one of many featured in Donald Duck's 50th Birthday. A third version of Mickey and the Beanstalk was on the Disney television show ""The Mouse Factory"", which aired from 1972 to 1974. This version starred Shari Lewis and Lamb Chop. The Ludwig Von Drake version of Mickey and the Beanstalk was released separately in 1988 in the Walt Disney Mini-Classics line. This version was then re-released in 1994, as part of Disney Favorite Stories collection. In 2004, the theatrical version of Mickey and the Beanstalk was released as a bonus feature on the Walt Disney Treasures set Mickey Mouse In Living Color, Volume Two. The TV version, featuring Ludwig Von Drake narrating, is available as part of the Disney Animation Collection (Volume 1). A jovial countryside land called Happy Valley, kept alive at all times by a singing harp, is suddenly plagued by a severe drought and falls into turmoil and depression after the harp is stolen from the castle by a mysterious assailant (and also nicknamed ""Gruesome Gulch""). The residents are driven into poverty and forced to leave in order to avoid death by starvation. Eventually, only three residents are left: Mickey, Donald, and Goofy. The trio have but just one loaf of bread and a single solitary bean to eat. One particular night, Mickey is forced to cut the bread into slices so ridiculously paper-thin that you could see right through them. Donald, driven to insanity by starvation, attempts to kill their pet cow with an axe, but is stopped by the combined efforts of Mickey and Goofy. Mickey then decides to sell the cow for money to buy food. Goofy and Donald are excited about eating again and begin to sing about delicious dishes (to the tune of Funiculi Funicula) until Mickey comes back and reveals that he traded their beloved bovine for a container of beans, which he claims to be magical. An enraged Donald, thinking that Mickey had been tricked, furiously throws the beans down the floor and they fall through a hole. However, it turns out that the beans are truly magical after all as later that night, the light of a full moon causes a beanstalk to sprout from under the house and lift it far up into the sky. The next morning, Mickey, Donald, and Goofy climb the gigantic beanstalk and enter a magical kingdom of enormous scope, where they appear to be tiny creatures compared to their surroundings. They eventually make their way to a huge castle, where they help themselves to a sumptuous feast. There they stumble across the harp locked in a small box, as she explains that she was kidnapped by a ""wicked giant"". Sure enough, just then, a giant named Willie emerges from the shadows, grunting angrily but then suddenly breaking into a happy song (""Fe Fi Fo Fum"") and bouncing a ball about while demonstrating rather amazing powers like flight, invisibility, and shapeshifting. As Willie prepares to eat lunch, he accidentally catches Mickey in his sandwich. Mickey sneezes when Willie pours pepper and tries to run away, but Willie catches him. Mickey plays palm reader and gains the childish giant's trust. Willie offers to show off his powers, and Mickey, spotting a nearby fly-swatter, asks him to change into a fly. However, Willie suggests turning into a pink bunny instead, and as he does he sees Mickey, Donald, and Goofy with the fly-swatter. Angry, Willie captures Mickey, Donald, and Goofy and locks them in the harp's chest so as to keep them from pulling any more tricks. In order to escape, Mickey must find the key and rescue his friends, and does so with the help of the singing golden harp, who begins singing Willie to sleep. Mickey almost alerts Willie to his presence by sneezing after falling into a box of powder in Willie's pocket, but the same powder makes Willie sneeze and he loses sight of Mickey. Mickey frees his friends and they make a break for it with the harp. However, Willie wakes up from his sleep and spots them, giving chase all the way to the beanstalk. Mickey stalls him long enough for Donald and Goofy to reach the bottom and begin sawing the beanstalk. Mickey arrives just in time to finish the job of cutting down the beanstalk, and Willie, who was climbing down, falls to his apparent death. Back in the narrator's home, the narrator (be it Ludwig Von Drake or Edgar Bergen) finishes his story and cheers up his companion (be it Herman or Mortimer Snerd), who was crying for Willie. Just as the narrator says that Willie is a fictional character and not real, Willie himself appears, alive and well, tearing the roof off the narrator's house. Willie inquires about Mickey's whereabouts, but the narrator faints in shock while the companion tells Willie goodnight. Before the scene closes, Willie notices The Brown Derby restaurant and picks up the building searching for any sign of Mickey and since the restaurant looks like a hat, places it on his head, and stomps off with the HOLLYWOOD lights blinking in the background."
